タイトル,キーワード,総合ポイント,文字数,読了時間（分）,URL
"ニートだけどハロワにいったら異世界につれてかれた【１２巻２月２４日発売】
","男主人公 勇者 西洋 ハーレム チート 内政 冒険 剣と魔法 奴隷 猫耳 テンプレ R15 残酷な描写あり 異世界転移
",296428,2312460,4625,https://ncode.syosetu.com/n5981bn/
"【二巻発売中】滅亡国家のやり直し　今日から始める軍師生活【SQEXノベル大賞、大賞受賞作品　/　1.39億PV感謝　/　コミカライズ決定！　/　三巻ただいま準備中！　/　完結】
","オリジナル戦記 軍師 騎士 戦術 戦略 策謀 計略 国家 のんびり 賢者 群像 書籍化 謀略 復讐 R15 残酷な描写あり
",292054,920834,1842,https://ncode.syosetu.com/n7120hp/
狼は眠らない,"残酷な描写あり スキル　魔法　迷宮 旅　出会い　剣 魔獣　貴族　伝説 薬師　女騎士 神獣
",291201,1807371,3615,https://ncode.syosetu.com/n3930eh/
"異世界はスマートフォンとともに。
","ハーレム ファンタジー 剣と魔法 スマートフォン 巨大ロボット 新型開発 領地経営 R15 残酷な描写あり 異世界転移
",288425,3618240,7237,https://ncode.syosetu.com/n1443bp/
"おい、外れスキルだと思われていた《チートコード操作》が化け物すぎるんだが。　〜実家を追放され、世間からも無能と蔑まれていたが、幼馴染の皇女からめちゃくちゃ溺愛されるうえにスローライフが楽しすぎる〜
","R15 残酷な描写あり 主人公最強 ざまぁ ハーレム これが本物のチート 無双 コメディ 勘違い
",287526,411067,823,https://ncode.syosetu.com/n8672gi/
"冒険者になりたいと都に出て行った娘がＳランクになってた
","R15 残酷な描写あり 冒険 剣士 魔法 おっさん 父親 娘 ファザコン 勘違い
",286610,1386496,2773,https://ncode.syosetu.com/n5947eg/
"フェアリーテイル・クロニクル　～空気読まない異世界ライフ～
","VRMMO 生産チート 材料なければただの人 女性恐怖症 あえてハーレムルート すなわち死亡フラグ 食道楽 努力の方向音痴 回り道が最短ルート 時折オッサンホイホイ 説得（胃袋） 元祖鶏ガラ最強伝説 なんちゃって仏教 大空海時代 R15 残酷な描写あり 異世界転移
",286018,3994812,7990,https://ncode.syosetu.com/n6768bf/
サイレント・ウィッチ,"女主人公 学園 魔法 恋愛 ファンタジー R15 残酷な描写あり
",283432,987489,1975,https://ncode.syosetu.com/n8356ga/
"【Web版】町人Aは悪役令嬢をどうしても救いたい【後日談のみ連載中】
","男主人公 西洋 チート 魔法 ハッピーエンド 乙女ゲーム 悪役令嬢 オリジナル戦記 銃・兵器開発 恋愛 ざまぁ 成り上がり ESN大賞２ 努力 純愛 R15 残酷な描写あり 異世界転生
",283240,45892,92,https://ncode.syosetu.com/n6755gk/
"老後に備えて異世界で８万枚の金貨を貯めます
","女主人公 チート 内政 ミリタリー 少女 異世界 現代兵器 転移 現代知識 お店 R15 残酷な描写あり 異世界転移
",282231,1543154,3087,https://ncode.syosetu.com/n5529cy/
絶対に働きたくないダンジョンマスターが惰眠をむさぼるまで【コミカライズ11巻  10/25発売】,"魔法 ダンジョン ダンジョンマスター 奴隷 ファンタジー 幼女 異世界 ダンジョン経営 ダンジョン運営 R15 残酷な描写あり 異世界転移
",281997,1748746,3498,https://ncode.syosetu.com/n5490cq/
ハンネローレの貴族院五年生,"女主人公 ファンタジー 異世界 R15
",281981,354496,709,https://ncode.syosetu.com/n4750dy/
"誰かこの状況を説明してください
","ほのぼの ハッピーエンド ラブコメ コメディー 恋愛 マイペース主人公 顔は素敵な旦那様ｗ
",281384,915522,1832,https://ncode.syosetu.com/n3039bm/
"悪役令嬢なのでラスボスを飼ってみました
","R15 異世界転生 乙女ゲーム 悪役令嬢 ラブコメ 恋愛 婚約破棄 チート 女主人公 西洋 ハッピーエンド 魔王
",280303,1017389,2035,https://ncode.syosetu.com/n2766dz/
転生幼女はあきらめない,"ほのぼの 女主人公 日常 赤ちゃん転生 最初はつらい でも溺愛 試練もある 人も死ぬ でもへこたれない チートはないが 結界を張る力を持つ 書籍化 コミカライズ R15 残酷な描写あり 異世界転生
",280185,1108539,2218,https://ncode.syosetu.com/n2421eu/
"金色の文字使い　～勇者四人に巻き込まれたユニークチート～
","R15 残酷な描写あり 異世界転移 オリジナル戦記 ヒーロー 冒険 異世界 チート 成り上がり成分 勇者と魔王 冒険ファンタジー 剣と魔法 レベル制 グルメ・食事 ステータス 幼女ハーレム クール系主人公 書籍版も完結
",277913,3328564,6658,https://ncode.syosetu.com/n7031bs/
"【完結済】異世界薬局（EP4）/【連載中】世界薬局（EP4.1）
","異世界転生 近未来 スペースオペラ サイバーパンク 異世界 宮廷薬師 現代薬学 SF×FT エピソード４ 完結済 後日譚連載中 習作（EP4） 習作（EP4.1）
",276391,1256061,2513,https://ncode.syosetu.com/n8541cr/
"【書籍5巻発売中】元、落ちこぼれ公爵令嬢です。（WEB版）
","女主人公 チート 魔法 ハッピーエンド 身分差 乙女ゲーム 悪役令嬢 逆行転生 微ざまぁ 溺愛 書籍化 コミカライズ R15 異世界転移
",275008,254837,510,https://ncode.syosetu.com/n7529gb/
LV999の村人,"冒険 ファンタジー コメディー 主人公最強 異世界 ＲＰＧ 感動 熱い メイド 正義 ゆる系 一騎当千 転生 チート 優しい世界
",274393,1328501,2658,https://ncode.syosetu.com/n7612ct/
"経験値貯蓄でのんびり傷心旅行　～勇者と恋人に追放された戦士の無自覚ざまぁ～
","ざまぁ 寝取られ 追放 貯蓄系 倍額返還 主人公最強クラス 奴隷 モフモフ 無意識先回り 成り上がり 大剣使い ステータス ハーレム要素あり R15 残酷な描写あり
",272728,757571,1516,https://ncode.syosetu.com/n9483ge/
"追放されたお荷物テイマー、世界唯一のネクロマンサーに覚醒する　〜ありあまるその力で自由を謳歌していたらいつの間にか最強に〜
","オリジナル戦記 冒険 復讐 俺TUEEE ざまぁ ネクロマンサー テイマー 無双 追放 男主人公 Sランク パーティー 成り上がり 主人公最強 ヴァンパイア
",272574,249231,499,https://ncode.syosetu.com/n2142gb/
"栽培チートで最強菜園　～え、ただの家庭菜園ですけど？～
","R15 残酷な描写あり 農業 家庭菜園 栽培
",271498,406835,814,https://ncode.syosetu.com/n7094fo/
"婚約者に裏切られたので、子爵令嬢から王妃付き侍女にジョブチェンジしてみた
","シリアス ほのぼの 女主人公 西洋 ハッピーエンド ヒストリカル すれ違い ざまぁ？ 書籍化 ヒーローが行方不明 コミカライズ R15 残酷な描写あり
",270378,384050,769,https://ncode.syosetu.com/n2591gi/
"勇者パーティーを追放されたビーストテイマー、最強種の猫耳少女と出会う
","男主人公 勇者 ハーレム チート 冒険 オリジナル戦記 ざまぁ 書籍化 R15
",269598,2448303,4897,https://ncode.syosetu.com/n8810eu/
"世界最高の暗殺者、異世界貴族に転生する
","R15 異世界転生 貴族 暗殺者 異世界 転生 ハーレム チート
",268214,246810,494,https://ncode.syosetu.com/n3148ex/
"ポーション頼みで生き延びます！
","女主人公 チート 少女 異世界 転生 ポーション 女神 R15 残酷な描写あり 異世界転移
",267945,1385697,2772,https://ncode.syosetu.com/n6088cy/
黒の魔王,"シリアス 魔王 魔法 ファンタジー 異世界 架空戦記 国家/民族 冒険者 ヤンデレ R15 残酷な描写あり 異世界転移
",267331,6507903,13016,https://ncode.syosetu.com/n2627t/
"世界最強の努力家　〜才能が【努力】だったので効率良く規格外の努力をしてみる〜
","R15 残酷な描写あり 努力の天才 規格外の努力 異常な精神力 便利なユニークスキル どんどん強くなる いずれ世界最強
",266465,293722,588,https://ncode.syosetu.com/n1542ga/
"黒の召喚士　～戦闘狂の成り上がり～
","魔王 勇者 ハーレム 魔法 冒険 ダンジョン ファンタジー 成長 召喚士 成り上がり メイド 戦闘狂 エルフ スキル テンプレもの R15 残酷な描写あり 異世界転生
",265550,3321221,6643,https://ncode.syosetu.com/n1222ci/
最果てのパラディン,"R15 残酷な描写あり 異世界転生 ヒーロー 冒険 成長 家族 友情 騎士 神様 剣と魔法 シリアス バトル 成り上がり チートなし 男主人公 魔法
",264081,734091,1469,https://ncode.syosetu.com/n5115cq/
"やり直し令嬢は竜帝陛下を攻略中
","女主人公 チート ハッピーエンド 年の差 逆行転生 ラブコメ 婚約破棄 恋愛 夫婦 結婚 軍人 おにロリ R15 残酷な描写あり
",263594,1157717,2316,https://ncode.syosetu.com/n6484fv/
"弱小領地の生存戦略！　～俺の領地が何度繰り返しても滅亡するんだけど。これ、どうしたら助かりますか？～
","男主人公 西洋 チート 内政 タイムリープ オリジナル戦記 IF戦記 内政チート 時間遡行 妻複数 R15 残酷な描写あり
",263270,1095211,2191,https://ncode.syosetu.com/n9624gu/
"復讐を誓った白猫は竜王の膝の上で惰眠をむさぼる
","異世界転移 年の差 竜 召喚 溺愛 白猫 復讐？ 精霊 もふもふ 恋愛
",261175,843815,1688,https://ncode.syosetu.com/n7006cm/
"(´・ω・`)最強勇者はお払い箱→魔王になったらずっと俺の無双ターン
","勇者追放 心はイケメン まものフレンズ スカッとざまぁ 亜人とスローライフ アイテムマスター 主人公最強 書籍化 コミカライズ R15 残酷な描写あり
",259740,505380,1011,https://ncode.syosetu.com/n0955el/
"骸骨騎士様、只今異世界へお出掛け中
","R15 残酷な描写あり 異世界転移 異世界 主人公最強 主人公骸骨 目立たず生きる ダークエルフ もふ
",258769,1136749,2274,https://ncode.syosetu.com/n6266ci/
"禁断師弟でブレイクスルー～勇者の息子が魔王の弟子で何が悪い～
","男主人公 魔王 勇者 オリジナル戦記 第二世代 幽霊 家庭教師 友情 成り上がり 恋愛 ざまぁ 追放 成長 努力 R15 残酷な描写あり
",257804,2437454,4875,https://ncode.syosetu.com/n9185fm/
"失格から始める成り上がり魔導師道！～呪文開発ときどき戦記～
","オリジナル戦記 成り上がり テンプレ 剣と魔法 失格 廃嫡 R15 残酷な描写あり
",255273,1152070,2305,https://ncode.syosetu.com/n6362fe/
"治癒魔法の間違った使い方～戦場を駆ける回復要員～
","高校生 巻き込まれ 回復要員（物理） 豹変する主人公 残念ヒロイン 師匠が鬼 成長系 脇役？ 戦い チートなし ライト文芸賞2MF 佳作 書籍化 残酷な描写あり 異世界転移
",255131,3098651,6198,https://ncode.syosetu.com/n2468ca/
"勇者召喚に巻き込まれたけど、異世界は平和でした
","ほのぼの ハーレム 魔法 異世界 恋愛 交友チート スローライフ 幼女メインヒロイン 貴族 主人公凡人 ヒロインが最強 星球大賞 R15 異世界転移
",253382,5319884,10640,https://ncode.syosetu.com/n2273dh/
"この世界がゲームだと俺だけが知っている
","ハーレム ゲーム バグ ＶＲＡＲＰＧ 異世界 トリップ 変態機動 猫耳猫 異世界転移
",253352,1458654,2918,https://ncode.syosetu.com/n9078bd/
実は俺、最強でした？,"主人公最強 陰のヒーロー 勘違いコメディ 部下も強キャラ揃い なんでもあり魔法 ざまぁもあるよ ご都合アリ 書籍化 コミカライズ化 アニメ化 R15 残酷な描写あり 異世界転生
",253051,579269,1159,https://ncode.syosetu.com/n1321ez/
戦国小町苦労譚,"タイムスリップ 戦国時代 歴史改変 技術改革 現代倫理はゴミ箱へ R15 残酷な描写あり
",252229,2163266,4327,https://ncode.syosetu.com/n8406bm/
"二度転生した少年はＳランク冒険者として平穏に過ごす　～前世が賢者で英雄だったボクは来世では地味に生きる～
","冒険 転生 現地主人公 異世界 剣と魔法 賢者 英雄 冒険者 Ｓクラス ファンタジー 地味 R15 残酷な描写あり
",251271,1901051,3803,https://ncode.syosetu.com/n4979et/
"10年ごしの引きニートを辞めて外出したら自宅ごと異世界に転移してた
","魔法 冒険 ファンタジー 異世界 異世界トリップ 家ごとトリップ サバイバル 書籍化 本編完結済み ご都合主義 モンスター 幼女 掲示板 現代との繋がり ネット小説大賞十SC R15 残酷な描写あり 異世界転移
",251152,1999757,4000,https://ncode.syosetu.com/n7594ct/
